年月日	降雪量合計(cm)
2016/1/14	1
2016/1/15	0
2016/1/16	0
2016/1/17	0
2016/1/18	0
2016/1/19	10
2016/1/20	1
2016/1/21	2
2016/1/22	6
2016/1/23	1
2016/1/24	26
2016/1/25	3
2016/1/26	0
2016/1/27	0
2016/1/28	0
2016/1/29	0
2016/1/30	0
2016/1/31	0
2016/2/1	0
2016/2/2	0
2016/2/3	0
2016/2/4	0
2016/2/5	0
2016/2/6	0
2016/2/7	1
2016/2/8	0
2016/2/9	0
2016/2/10	1
2016/2/11	0
2016/2/12	0
2016/2/13	0
2016/2/14	0
2016/2/15	17
2016/2/16	9
2016/2/17	8
2016/2/18	0
2016/2/19	0
2016/2/20	0
2016/2/21	0
2016/2/22	0
2016/2/23	0
2016/2/24	0
2016/2/25	6
2016/2/26	6
2016/2/27	0
2016/2/28	0
2016/2/29	5
2016/3/1	5
2016/3/2	1
