年月日	降雪量合計(cm)
2017/12/12	1
2017/12/13	1
2017/12/14	4
2017/12/15	0
2017/12/16	0
2017/12/17	30
2017/12/18	0
2017/12/19	0
2017/12/20	0
2017/12/21	0
2017/12/22	0
2017/12/23	0
2017/12/24	0
2017/12/25	0
2017/12/26	1
2017/12/27	4
2017/12/28	0
2017/12/29	0
2017/12/30	0
2017/12/31	0
2018/1/1	0
2018/1/2	1
2018/1/3	7
2018/1/4	10
2018/1/5	0
2018/1/6	0
2018/1/7	0
2018/1/8	0
2018/1/9	0
2018/1/10	4
2018/1/11	32
2018/1/12	14
2018/1/13	24
2018/1/14	0
2018/1/15	0
2018/1/16	0
2018/1/17	0
2018/1/18	0
2018/1/19	0
2018/1/20	0
2018/1/21	0
2018/1/22	1
2018/1/23	2
2018/1/24	11
2018/1/25	5
2018/1/26	7
2018/1/27	1
2018/1/28	0
2018/1/29	2
2018/1/30	16
2018/1/31	2
2018/2/1	0
2018/2/2	0
2018/2/3	1
2018/2/4	12
2018/2/5	52
2018/2/6	22
2018/2/7	15
2018/2/8	2
2018/2/9	0
2018/2/10	0
2018/2/11	2
2018/2/12	12
2018/2/13	5
2018/2/14	0
2018/2/15	0
2018/2/16	0
2018/2/17	2
2018/2/18	5
2018/2/19	0
2018/2/20	0
2018/2/21	1
2018/2/22	2
